restaurant,aspect,sentence_count,tf_summary,mmr_summary
Antipodean Cafe,food,25,food delicious service really good definitely coming back food taste great however service need improvement,food delicious service really good definitely coming back best breakfast town usually go mid valley branch taste bangsar branch love big breakfast coffee
Antipodean Cafe,service,67,good food great service nice food good service,superb service food nice great place tea time good service staff friendly food delicious
Antipodean Cafe,atmosphere,6,great food ambiance enjoyed food ambience,great food ambiance loved service ambience place nice hearty breakfast morning quiet mallrecommended come
Antipodean @ Atria,food,14,good service food delicious nice staff large portion good food,nice place want tasty food nice staff large portion good food
Antipodean @ Atria,service,71,nice food good service good service friendly waiter great food,good service friendly waiter great food good food nice ambiance attentive service staff back soon
Antipodean @ Atria,atmosphere,5,good food nice ambience good serviceexcellent coffeegood ambience,food ambience good love kid playing area give u time good food nice ambience
Antipodean @ Atria,price,6,wonderful food great service worth value big breakfast awesome worth try,yummy pancake healthy selection price reasonable play area kid service great sop awesome food bit overpriced worth like feed ant colony price
Khan’s Indian Cuisine,food,40,delicious food ambience nice taste north indian food,great indian cuisine authentic indian think food authentic indian cuisine definitely come back good food translated google food super delicious especially chicken spicy briyani prawn briyani super translated google food super delicious especially chicken spicy briyani prawn briyani super original food super delicious especially chicken spicy briyani prawn briyani super
Khan’s Indian Cuisine,service,22,good service good food service good,friendly staff great ambience good service good food
Khan’s Indian Cuisine,atmosphere,10,good food nice ambiance amazing indian food worth coming brilliant service nice ambience clean,good food nice ambiance food ambience ok manager supervisor indian chap loud shame managed well place wont last long price worth
Khan’s Indian Cuisine,price,12,food good price expensive food good really little expensive,consistently bad customer care interraction also expensive every time get craving indian try order khan sphere location phone number many food site wrong many call consistently bad customer care interraction also expensive every time get craving indian try order khan sphere location phone number many food site wrong many call website say make reservation order via x email finally call one answer say khan ask khan sent email order website directs told quite rudely take hour read replied go whatsapp honestly business people whatsapp people smart phone despite person phone may order pickup silly procedure bad phone etiquette expensive top never star rating would get food good price expensive
myBurgerLab OUG,food,17,delicious burger burger awesome gourmet burger fan place salsa sauce delicious,like title say burger good tried flavor jammin elvis ultraman vivien husband shroom shroom captain hook nasi lemak rendang double trouble like title say burger good tried flavor jammin elvis ultraman vivien husband shroom shroom captain hook nasi lemak rendang double trouble complaint except ultraman salted eggy enough sauce pale comparison normal salted egg yolk color love jammin elvis cause love peanut butter jelly one favor combination eat another thing really love salsa sauce please choose nacho side sauce heavenly would come back also please open branch jb singapore hail latter hearing raving review delicious burger
myBurgerLab OUG,service,21,great burger service friendly staff fantastic burger service ever,great burger service friendly staff nice food good service
myBurgerLab OUG,atmosphere,8,nice burger clean place good place burger though time place get busy,good place burger though time place get busy second store famous burger house myburgerlab klang valley smaller first store seapark petaling jaya less crowded burger house look clean little spacious second store famous burger house myburgerlab klang valley smaller first store seapark petaling jaya less crowded burger house look clean little spacious burger great usual staff friendly helpful always smile face soda gun instead dispenser bottomless refill station really cool open kitchen rear end restaurant check burger cooked made
myBurgerLab OUG,price,9,expensive food good place nice burger price,expensive food good place nice burger price
Kayra Authentic Kerala Cuisine @Bangsar Village,food,52,good authentic food delicious nice food nice place different way experience indian food,good authentic food delicious excellent kerala dish service efficient
Kayra Authentic Kerala Cuisine @Bangsar Village,service,16,food delicious staff attentive food superb service excellent,great food south indian kerala restaurant amazing service food delicious staff attentive
Kayra Authentic Kerala Cuisine @Bangsar Village,atmosphere,6,good ambience good food healthy living good place kerala food good ambiance,food nice good ambience must try good place kerala food good ambiance
Kayra Authentic Kerala Cuisine @Bangsar Village,price,13,super pricey ok expensive food provided good place definitely worth price good food kerala taste bit expensive worth,super pricey ok expensive food provided good place definitely worth price great food good value money nice staff
